run_id,matrix,policy,scene_id,seed,adapter_config,status,attempted,completed,blocked,failure_layer,failure_code,detail,claim_valid,expected_layer,observed_layer,expected_code,observed_code,detected,correctly_localized,service_survived,late_message_count
fault_injection_constant_velocity_17_semantic_route_missing,fault_injection,constant_velocity,synthetic_fault_harness,17,semantic.route_missing,completed,true,true,false,semantic,semantic.route_missing,Synthetic fault-injection harness detected the configured contract fault.,false,semantic,semantic,semantic.route_missing,semantic.route_missing,true,true,true,
fault_injection_constant_velocity_17_semantic_command_only,fault_injection,constant_velocity,synthetic_fault_harness,17,semantic.command_only,completed,true,true,false,semantic,semantic.command_only,Synthetic fault-injection harness detected the configured contract fault.,false,semantic,semantic,semantic.command_only,semantic.command_only,true,true,true,
fault_injection_constant_velocity_17_semantic_road_center_reference,fault_injection,constant_velocity,synthetic_fault_harness,17,semantic.road_center_reference,completed,true,true,false,semantic,semantic.road_center_reference,Synthetic fault-injection harness detected the configured contract fault.,false,semantic,semantic,semantic.road_center_reference,semantic.road_center_reference,true,true,true,
fault_injection_constant_velocity_17_temporal_stale_observation,fault_injection,constant_velocity,synthetic_fault_harness,17,temporal.stale_observation,completed,true,true,false,temporal,temporal.stale_observation,Synthetic fault-injection harness detected the configured contract fault.,false,temporal,temporal,temporal.stale_observation,temporal.stale_observation,true,true,true,
fault_injection_constant_velocity_17_temporal_invalid_sample_count,fault_injection,constant_velocity,synthetic_fault_harness,17,temporal.invalid_sample_count,completed,true,true,false,temporal,temporal.invalid_sample_count,Synthetic fault-injection harness detected the configured contract fault.,false,temporal,temporal,temporal.invalid_sample_count,temporal.invalid_sample_count,true,true,true,
fault_injection_constant_velocity_17_temporal_nan_trajectory,fault_injection,constant_velocity,synthetic_fault_harness,17,temporal.nan_trajectory,completed,true,true,false,temporal,temporal.nan_trajectory,Synthetic fault-injection harness detected the configured contract fault.,false,temporal,temporal,temporal.nan_trajectory,temporal.nan_trajectory,true,true,true,
fault_injection_constant_velocity_17_lifecycle_duplicate_close,fault_injection,constant_velocity,synthetic_fault_harness,17,lifecycle.duplicate_close,completed,true,true,false,lifecycle,lifecycle.duplicate_close,Synthetic fault-injection harness detected the configured contract fault.,false,lifecycle,lifecycle,lifecycle.duplicate_close,lifecycle.duplicate_close,true,true,true,
fault_injection_constant_velocity_17_lifecycle_late_image,fault_injection,constant_velocity,synthetic_fault_harness,17,lifecycle.late_image,completed,true,true,false,lifecycle,lifecycle.late_image,Synthetic fault-injection harness detected the configured contract fault.,false,lifecycle,lifecycle,lifecycle.late_image,lifecycle.late_image,true,true,true,
fault_injection_constant_velocity_17_lifecycle_late_route,fault_injection,constant_velocity,synthetic_fault_harness,17,lifecycle.late_route,completed,true,true,false,lifecycle,lifecycle.late_route,Synthetic fault-injection harness detected the configured contract fault.,false,lifecycle,lifecycle,lifecycle.late_route,lifecycle.late_route,true,true,true,
fault_injection_constant_velocity_17_plugin_optional_backend_missing,fault_injection,constant_velocity,synthetic_fault_harness,17,plugin.optional_backend_missing,completed,true,true,false,plugin,plugin.optional_backend_missing,Synthetic fault-injection harness detected the configured contract fault.,false,plugin,plugin,plugin.optional_backend_missing,plugin.optional_backend_missing,true,true,true,
fault_injection_constant_velocity_17_deployment_docker_unavailable,fault_injection,constant_velocity,synthetic_fault_harness,17,deployment.docker_unavailable,completed,true,true,false,deployment,deployment.docker_unavailable,Synthetic fault-injection harness detected the configured contract fault.,false,deployment,deployment,deployment.docker_unavailable,deployment.docker_unavailable,true,true,false,
fault_injection_constant_velocity_17_deployment_gpu_runtime_unavailable,fault_injection,constant_velocity,synthetic_fault_harness,17,deployment.gpu_runtime_unavailable,completed,true,true,false,deployment,deployment.gpu_runtime_unavailable,Synthetic fault-injection harness detected the configured contract fault.,false,deployment,deployment,deployment.gpu_runtime_unavailable,deployment.gpu_runtime_unavailable,true,true,false,
fault_injection_constant_velocity_17_deployment_scene_artifact_missing,fault_injection,constant_velocity,synthetic_fault_harness,17,deployment.scene_artifact_missing,completed,true,true,false,deployment,deployment.scene_artifact_missing,Synthetic fault-injection harness detected the configured contract fault.,false,deployment,deployment,deployment.scene_artifact_missing,deployment.scene_artifact_missing,true,true,false,
fault_injection_constant_velocity_17_evidence_manifest_missing,fault_injection,constant_velocity,synthetic_fault_harness,17,evidence.manifest_missing,completed,true,true,false,evidence,evidence.manifest_missing,Synthetic fault-injection harness detected the configured contract fault.,false,evidence,evidence,evidence.manifest_missing,evidence.manifest_missing,true,true,true,
fault_injection_constant_velocity_17_evidence_hash_mismatch,fault_injection,constant_velocity,synthetic_fault_harness,17,evidence.hash_mismatch,completed,true,true,false,evidence,evidence.hash_mismatch,Synthetic fault-injection harness detected the configured contract fault.,false,evidence,evidence,evidence.hash_mismatch,evidence.hash_mismatch,true,true,true,
